,Date,Opponents,Attendance,Year,month,month_name,Day
320,2004-02-11,Doncaster,945,2004,2,February,Wednesday
321,2004-02-15,Dewsbury,867,2004,2,February,Sunday
322,2004-02-22,Skolars,662,2004,2,February,Sunday
323,2004-02-29,York,764,2004,2,February,Sunday
324,2004-03-19,Hull KR,1049,2004,3,March,Friday
325,2004-05-21,Dewsbury,1352,2004,5,May,Friday
326,2004-06-06,Workington,979,2004,6,June,Sunday
327,2004-06-20,Barrow,977,2004,6,June,Sunday
328,2004-07-04,Swinton,957,2004,7,July,Sunday
329,2004-07-11,Chorley,852,2004,7,July,Sunday
330,2004-07-23,York,1018,2004,7,July,Friday
331,2004-08-01,Gateshead,744,2004,8,August,Sunday
332,2004-08-22,Hunslet,870,2004,8,August,Sunday
333,2004-09-12,Skolars,825,2004,9,September,Sunday
334,2004-09-19,Hunslet,531,2004,9,September,Sunday
335,2005-02-11,Dewsbury,959,2005,2,February,Friday
336,2005-03-04,Batley,875,2005,3,March,Friday
337,2005-03-25,Doncaster,1003,2005,3,March,Friday
338,2005-04-08,Blackpool,727,2005,4,April,Friday
339,2005-04-22,Keighley,804,2005,4,April,Friday
340,2005-05-20,Gateshead,664,2005,5,May,Friday
341,2005-06-11,Workington,650,2005,6,June,Saturday
342,2005-07-22,Hunslet,846,2005,7,July,Friday
343,2005-08-05,Dewsbury,884,2005,8,August,Friday
344,2005-08-29,Skolars,764,2005,8,August,Monday
345,2005-09-02,Swinton,806,2005,9,September,Friday
346,2005-09-09,York,1154,2005,9,September,Friday
347,2006-02-17,York,1145,2006,2,February,Friday
348,2006-02-24,Hull KR,1347,2006,2,February,Friday
349,2006-03-19,Featherstone,769,2006,3,March,Sunday
350,2006-04-07,Keighley,798,2006,4,April,Friday
351,2006-04-17,Celtic,981,2006,4,April,Monday
352,2006-04-28,Workington,756,2006,4,April,Friday
353,2006-05-12,Gateshead,707,2006,5,May,Friday
354,2006-05-26,Hunslet,775,2006,5,May,Friday
355,2006-06-09,Barrow,882,2006,6,June,Friday
356,2006-06-23,Featherstone,935,2006,6,June,Friday
357,2006-07-21,Skolars,729,2006,7,July,Friday
358,2006-07-28,Swinton,830,2006,7,July,Friday
359,2006-08-11,Dewsbury,1186,2006,8,August,Friday
360,2006-09-01,Blackpool,783,2006,9,September,Friday
361,2006-09-22,Celtic,760,2006,9,September,Friday
362,2007-02-16,Doncaster,1043,2007,2,February,Friday
363,2007-03-16,Castleford,1897,2007,3,March,Friday
364,2007-03-23,Featherstone,1196,2007,3,March,Friday
365,2007-04-06,Doncaster,1142,2007,4,April,Friday
366,2007-04-13,Widnes,1211,2007,4,April,Friday
367,2007-05-18,Dewsbury,881,2007,5,May,Friday
368,2007-06-07,Rochdale,1463,2007,6,June,Thursday
369,2007-06-15,Castleford,1333,2007,6,June,Friday
370,2007-07-20,Leigh,870,2007,7,July,Friday
371,2007-07-27,Batley,916,2007,7,July,Friday
372,2007-08-31,Halifax,1009,2007,8,August,Friday
373,2007-09-06,Whitehaven,1045,2007,9,September,Thursday
374,2008-02-01,Celtic,773,2008,2,February,Friday
375,2008-02-22,Skolars,669,2008,2,February,Friday
376,2008-03-02,Doncaster,942,2008,3,March,Sunday
377,2008-03-07,Lezignan,379,2008,3,March,Friday
378,2008-03-24,Celtic,665,2008,3,March,Monday
379,2008-04-13,Leigh,1108,2008,4,April,Sunday
380,2008-05-02,Salford,1058,2008,5,May,Friday
381,2008-05-30,Halifax,1235,2008,5,May,Friday
382,2008-06-20,Batley,812,2008,6,June,Friday
383,2008-07-11,Whitehaven,810,2008,7,July,Friday
384,2008-07-25,Featherstone,2107,2008,7,July,Friday
385,2008-08-14,Widnes,1823,2008,8,August,Thursday
386,2008-08-22,Dewsbury,815,2008,8,August,Friday
387,2009-02-11,Hunslet,556,2009,2,February,Wednesday
388,2009-03-01,Halifax,1065,2009,3,March,Sunday
389,2009-03-08,Toulouse,1554,2009,3,March,Sunday
390,2009-03-15,Leigh,1220,2009,3,March,Sunday
391,2009-04-03,Dewsbury,597,2009,4,April,Friday
392,2009-04-09,Doncaster,1209,2009,4,April,Thursday
393,2009-04-26,Widnes,1231,2009,4,April,Sunday
394,2009-05-23,Toulouse,809,2009,5,May,Saturday
395,2009-06-13,Whitehaven,811,2009,6,June,Saturday
396,2009-07-03,Batley,1286,2009,7,July,Friday
397,2009-07-23,Gateshead,1410,2009,7,July,Thursday
