Date,Opponents,Attendance
15/07/2016,Leigh,774
14/08/2016,Whitehaven,412
21/08/2016,Swinton,466
04/09/2016,Workington,380
11/09/2016,Dewsbury,564
12/02/2017,Toulouse,442
26/02/2017,Batley,662
12/03/2017,Featherstone,1017
02/04/2017,London B,319
17/04/2017,Dewsbury,482
07/05/2017,Bradford,1437
04/06/2017,Rochdale,341
11/06/2017,Halifax,672
25/06/2017,Hull KR,1619
02/07/2017,Swinton,379
16/07/2017,Oldham,329
06/08/2017,Oldham,305
20/08/2017,Dewsbury,363
03/09/2017,Bradford,896
10/09/2017,Rochdale,297
11/03/2018,Toronto,863
30/03/2018,Rochdale,516
02/04/2018,Batley,597
15/04/2018,Leigh,982
06/05/2018,Halifax,891
13/05/2018,London B,517
10/06/2018,Swinton,872
23/06/2018,Featherstone,917
01/07/2018,Toulouse,458
15/07/2018,Dewsbury,425
22/07/2018,Barrow,702
31/08/2018,Dewsbury,638
07/09/2018,Featherstone,689
23/09/2018,Barrow,404
30/09/2018,Rochdale,789
03/02/2019,Swinton,1259
15/02/2019,Bradford,1711
01/03/2019,Batley,791
31/03/2019,Leigh,596
19/04/2019,Toulouse,729
28/04/2019,Halifax,966
24/05/2019,Toronto,932
09/06/2019,Featherstone,1321
21/06/2019,Rochdale,543
30/06/2019,Leigh,1082
05/07/2019,York,793
12/07/2019,Dewsbury,691
28/07/2019,Batley,727
02/08/2019,Widnes,772
18/08/2019,Barrow,677
16/02/2020,Toulouse,618
22/02/2020,Halifax,429
15/03/2020,Workington,323
19/03/2021,York,0
04/04/2021,Bradford,0
01/05/2021,London,0
07/05/2021,Batley,0
23/05/2021,Featherstone,620
30/05/2021,Whitehaven,343
27/06/2021,Toulouse,319
25/07/2021,Halifax,775
15/08/2021,Oldham,372
05/09/2021,Dewsbury,432
12/09/2021,Swinton,430
26/03/2022,Hull,1039
09/04/2022,Whitehaven,150
16/04/2022,London,943
22/04/2022,Newcastle,385
23/05/2022,Widnes,795
02/06/2022,York,786
12/06/2022,Bradford,799
24/06/2022,Leigh,758
08/07/2022,Batley,678
17/07/2022,Barrow,621
24/07/2022,Workington,644
07/08/2022,Whitehaven,727
12/08/2022,Halifax,569
02/09/2022,Featherstone,912
14/09/2022,Dewsbury,604
