,Are you:,When did you first attend a Sheffield Eagles game?,Would you class yourself as:,Are You? ,How old are you? ,How would you describe yourself,Postcode,Latitude,Longitude
107,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who plans to attend games from 2022,Male,40-49,White,S60,53.4119988231481,-1.35101599166667
108,Former chairman of the club,1984 - 1990,Someone who attends games home or away on a regular basis,Male,50-59,White,HD9  ,53.5805329916387,-1.79737410200669
109,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who used to attend games,Male,50-59,White,PR2,53.7786646706148,-2.70684761534122
110,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Male,60-69,White,S8,53.3400855827506,-1.47767373310023
111,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Female,50-59,White,S8,53.3400855827506,-1.47767373310023
112,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who used to attend games,Male,50-59,Prefer not to say,95370,,
113,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Female,25-39,White,S7,53.3551646986755,-1.49104566887417
114,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Male,50-59,White,S62,53.4654282545156,-1.34783121018062
115,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Female,40-49,White,S9,53.3981479577465,-1.41769494366197
116,A former employee and Reserve Grade Player,2011- 2021,Someone who occasionally attends home games,Male,25-39,White,S7,53.3551646986755,-1.49104566887417
117,Ex Player ,1984 - 1990,A current or former player,Male,50-59,,,,
118,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who occasionally attends home games,Male,25-39,White,S75  ,53.5627064526474,-1.52135271513796
119,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Male,25-39,White,S74,53.5009725826923,-1.441330725
120,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,A current or former player,Male,25-39,White,S35,53.4586070777027,-1.49845180518018
121,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who used to attend games,Female,70 or older,White,We live in Gibraltar,,
122,A player or member of club staff,,A current or former player,Male,60-69,White,WF10,53.7239207626582,-1.34774750316455
123,A Sheffield Eagles fan who no longer attends games,1991 - 2000,A current or former player,Male,25-39,White,HU6,53.7810379620638,-0.371420945371776
124,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Male,60-69,White,S11,53.3607688694992,-1.5078954491654
125,A former player ,2001 - 2010,A current or former player,Male,25-39,White,S74,53.5009725826923,-1.441330725
126,A player or member of club staff,2001 - 2010,Someone who used to attend games,Male,25-39,Mixed / Multiple Ethnic Groups,S57,,
